nome,historico,campus,sigla
CFS - FIC - Produtor de Derivados do Leite,Formação Inicial e Continuada em Produtor de Derivados do Leite,Campus Confresa,CFS
CFS - FIC - Recepcionista,Formação Inicial e Continuada em Recepcionista,Campus Confresa,CFS
CFS - FIC - Vendedor,Formação Inicial e Continuada em Vendedor,Campus Confresa,CFS
CFS - Licenciatura em Biologia,Licenciatura em Biologia,Campus Confresa,CFS
CFS - Licenciatura em Ciências da Natureza com Habilitação em Química,Licenciatura em Ciências da Natureza com Habilitação em Química,Campus Confresa,CFS
CFS - Licenciatura em Física,Licenciatura em Física,Campus Confresa,CFS
CFS - Licenciatura em Matemática,Licenciatura em Matemática,Campus Confresa,CFS
CNP - Bacharelado em Agronomia,Bacharelado em Agronomia,Campus Campo Novo do Parecis,CNP
CNP - Bacharelado em Agronomia - Integral - Campo Novo do Parecis,Bacharelado em Agronomia,Campus Campo Novo do Parecis,CNP
"CNP - FIC - Auxiliar em Produção, Análise e Classificação de Sementes e Grãos","Formação Inicial e Continuada em Auxiliar em Produção, Análise e Classificação de Sementes e Grãos",Campus Campo Novo do Parecis,CNP
CNP - FIC - Gestão Financeira para Cooperativas e Cooperados,Formação Inicial e Continuada em Gestão Financeira para Cooperativas e Cooperados,Campus Campo Novo do Parecis,CNP
CNP - FIC - Língua Brasileira de Sinais -Libras Básico,Formação Inicial e Continuada em Língua Brasileira de Sinais,Campus Campo Novo do Parecis,CNP
CNP - FIC - Reciclagem de Resíduos Sólidos Orgânicos - Compostagem,Formação Inicial e Continuada em Reciclagem de Resíduos Sólidos Orgânicos - Compostagem,Campus Campo Novo do Parecis,CNP
