nome,historico,campus,sigla
SNP - FIC - Inglês Básico,Formação Inicial e Continuada - Inglês Básico,Campus Avançado Sinop,SNP
SNP - FIC - Libras Básico,Formação Inicial e Continuada - Libras Básico,Campus Avançado Sinop,SNP
SNP - FIC - Libras Básico,Formação Inicial e Continuada - Libras Básico,Campus Avançado Sinop,SNP
SNP - FIC - Língua Portuguesa e Cultura Brasileira para Estrangeiros - Básico,Formação Inicial e Continuada - Língua Portuguesa e Cultura Brasileira para Estrangeiros,Campus Avançado Sinop,SNP
SNP - FIC - Língua Portuguesa e Cultura Brasileira para Estrangeiros - Intermediário,Formação Inicial e Continuada - Língua Portuguesa e Cultura Brasileira para Estrangeiros,Campus Avançado Sinop,SNP
SNP - FIC - Língua Portuguesa para Estrangeiros,Formação Inicial e Continuada em Língua Portuguesa para Estrangeiros,Campus Avançado Sinop,SNP
SNP - FIC - Recreador,Formação Inicial e Continuada em Recreador(a),Campus Avançado Sinop,SNP
SNP - Técnico em Administração Subsequente Ao Nível Médio,Técnico em Administração Subsequente Ao Nível Médio,Campus Avançado Sinop,SNP
SNP - Técnico em Automação Industrial Integrado Ao Nível Médio - Integral,Técnico em Automação Industrial Integrado Ao Ensino Médio,Campus Avançado Sinop,SNP
SNP - Técnico em Comércio Subsequente Ao Nível Médio,Técnico em Comércio Subsequente Ao Nível Médio,Campus Avançado Sinop,SNP
SNP - Técnico em Eletromecânica Integrado Ao Nível Médio,Técnico em Eletromecânica Integrado Ao Nível Médio,Campus Avançado Sinop,SNP
SNP - Técnico em Eletromecânica Subsequente Ao Nível Médio,Técnico em Eletromecânica Subsequente Ao Nível Médio,Campus Avançado Sinop,SNP
SNP - Técnico em Recursos Humanos Subsequente Ao Nível Médio,Técnico em Recursos Humanos Subsequente Ao Nível Médio,Campus Avançado Sinop,SNP
SRS - Engenharia Agronômica,Engenharia Agronômica,Campus Sorriso,SRS
SRS - Especialização em Docência de Ensino Superior,Especialização em Docência de Ensino Superior,Campus Sorriso,SRS
SRS - Especialização em Educação Ambiental,Pós Graduação Lato Sensu em Nível de Especialização em Educação Ambiental,Campus Sorriso,SRS
SRS - FIC - Pintura em Tela,Formação Inicial e Continuada em Pintura em Tela: Construções imagéticas confeccionadas por mulheres atendidas no CRAS São Domingos em Sorriso,Campus Sorriso,SRS
SRS - Tecnologia em Gestão Ambiental,Tecnologia em Gestão Ambiental,Campus Sorriso,SRS
